,ZipCode,AreaName
0,63005,Chesterfield
1,63010,Arnold
2,63011,Ballwin
3,63012,Barnhart
4,63013,Beaufort
5,63014,Berger
6,63015,Catawissa
7,63016,Cedar Hill
8,63017,Chesterfield
9,63019,Crystal City
10,63020,De Soto
11,63021,Ballwin
12,63023,Dittmer
13,63025,Eureka
14,63026,Fenton
15,63028,Festus
16,63030,Fletcher
17,63031,Florissant
18,63033,Florissant
19,63034,Old Jamestown
20,63037,Gerald
21,63038,Wildwood
22,63039,Gray Summit
23,63040,Wildwood
24,63041,Grubville
25,63042,Hazelwood
26,63043,Maryland Heights
27,63044,Bridgeton
28,63045,Earth City
29,63047,Hematite
30,63048,Herculaneum
31,63049,High Ridge
32,63050,Hillsboro
33,63051,House Springs
34,63052,Imperial
35,63053,Kimmswick
36,63055,Labadie
37,63056,Leslie
38,63057,Barnhart
39,63060,Lonedell
40,63061,Luebbering
41,63068,New Haven
42,63069,Pacific
43,63070,Pevely
44,63072,Robertsville
45,63073,Saint Albans
46,63074,St. Ann
47,63077,Saint Clair
48,63079,Stanton
49,63080,Sullivan
50,63084,Union
51,63088,Valley Park
52,63089,Villa Ridge
53,63090,Washington
54,63101,St. Louis
55,63102,St. Louis
56,63103,St. Louis
57,63104,St. Louis
58,63105,Clayton
59,63106,St. Louis
60,63107,St. Louis
61,63108,St. Louis
62,63109,St. Louis
63,63110,St. Louis
64,63111,St. Louis
65,63112,St. Louis
66,63113,St. Louis
67,63114,Overland
68,63115,St. Louis
69,63116,St. Louis
70,63117,Richmond Heights
71,63118,St. Louis
72,63119,Webster Groves
73,63120,St. Louis
74,63121,Northwoods
75,63122,Kirkwood
76,63123,Affton
77,63124,Ladue
78,63125,Lemay
79,63126,Crestwood
80,63127,Sunset Hills
81,63128,Concord
82,63129,Oakville
83,63130,University City
84,63131,Des Peres
85,63132,Olivette
86,63133,Pagedale
87,63134,Berkeley
88,63135,Ferguson
89,63136,Jennings
90,63137,Bellefontaine Neighbors
91,63138,Spanish Lake
92,63139,St. Louis
93,63140,Kinloch
94,63141,Creve Coeur
95,63143,Maplewood
96,63144,Brentwood
97,63146,Saint Louis
98,63147,St. Louis
99,63155,St. Louis
100,63301,St. Charles
101,63303,St. Charles
102,63304,Saint Charles
103,63332,Augusta
104,63341,Defiance
105,63343,Elsberry
106,63347,Foley
107,63348,Foristell
108,63349,Hawk Point
109,63357,Marthasville
110,63362,Moscow Mills
111,63366,OFallon
112,63367,Lake St. Louis
113,63368,OFallon
114,63369,Old Monroe
115,63370,Olney
116,63373,Portage Des Sioux
117,63376,St. Peters
118,63377,Silex
119,63379,Troy
120,63381,Truxton
121,63383,Warrenton
122,63385,Wentzville
123,63386,West Alton
124,63387,Whiteside
125,63389,Winfield
126,63390,Wright City
